dest_ip,dest_port
103.164.180.90,8080
195.25.20.155,3128
179.49.113.230,999
203.150.172.151,8080
45.70.236.194,999
45.249.50.137,4153
103.134.220.49,8080
190.83.15.241,999
139.59.59.122,8118
203.150.128.242,8080
187.44.211.118,4153
96.36.50.99,39593
177.131.29.213,4153
177.85.65.177,4153
94.253.95.241,3629
128.199.104.190,41354
46.8.60.2,1080
112.78.134.133,7777
180.180.216.90,8080
103.153.247.50,3125
203.153.125.13,6921
212.126.5.245,42344
103.18.47.79,4145
168.194.226.178,4153
36.64.27.123,5678
212.126.5.248,42344
103.141.70.18,8080
138.186.133.161,4153
119.235.50.246,4153
103.110.10.174,8085
113.160.154.7,4153
103.141.148.62,5678
177.234.217.82,999
45.116.230.79,4673
113.160.188.21,1080
178.220.148.82,10801
103.37.82.134,39873
70.60.132.130,5678
143.137.116.72,1080
49.229.36.171,4153
181.115.207.114,1080
200.192.236.242,1080
119.235.49.121,4153
202.51.103.154,5678
209.141.54.136,5555
186.194.234.18,4153
103.102.141.40,4145
41.216.232.213,4153
158.101.175.124,5566
185.196.182.22,8080
203.188.245.98,52837
186.225.149.90,4145
1.4.195.114,4145
119.18.155.66,4153
110.164.175.110,8080
45.187.76.2,3629
104.129.194.44,10336
31.170.19.5,4153
203.170.146.146,4153
103.40.122.194,1080
101.96.117.164,1080
195.138.65.34,5678
38.127.179.236,23554
41.174.132.82,5678
172.99.187.33,4145
69.36.63.128,1080
103.145.34.10,55443
103.59.203.209,4145
47.176.213.210,39593
82.114.228.67,8080
184.95.220.42,1080
103.158.252.99,80
187.44.188.238,8080
78.31.92.145,1080
190.220.1.173,56974
125.228.94.199,4145
177.130.25.76,8080
119.17.204.225,1080
212.220.13.98,4153
114.129.19.139,8080
180.191.22.50,4153
177.234.217.83,999
203.174.15.138,8080
50.250.205.21,32100
217.24.245.58,8079
118.163.120.181,58837
103.153.247.110,3125
58.147.186.226,3127
177.184.67.109,4145
182.160.110.154,9898
195.57.239.25,8080
113.176.118.150,1080
64.49.67.164,5678
91.211.100.35,44744
220.128.223.136,8082
203.190.8.59,1088
49.229.36.210,4153
93.184.8.22,1080
195.39.233.14,44567
93.184.4.254,1080
213.165.185.211,4153
78.111.112.118,4145
181.48.243.194,4153
103.105.40.97,4145
64.64.152.248,39593
90.188.92.116,36335
115.127.95.82,8080
74.82.50.155,3128
118.70.131.249,1080
188.191.164.55,3629
144.76.42.215,8118
189.203.181.34,1080
75.81.166.118,39593
186.216.195.1,4153
187.102.16.66,51327
46.29.116.3,4145
202.51.126.241,1080
64.201.87.248,8899
109.197.55.234,1080
67.210.146.50,5678
1.0.171.213,8080
98.103.88.158,46104
138.199.25.13,3909
183.80.130.9,4145
43.248.27.11,54730
103.246.3.203,4153
103.156.17.39,8181
186.225.149.81,4145
190.14.224.244,999
190.54.100.74,8080
103.103.3.6,8080
101.255.117.138,2020
37.18.73.60,5566
138.59.177.117,5678
181.57.225.166,3629
161.97.129.202,9060
37.44.238.2,63617
140.238.43.53,54322
103.86.1.25,4145
212.5.132.74,5678
182.53.216.73,4145
168.227.158.81,4145
217.64.149.146,8118
95.182.78.5,5678
201.234.24.89,4153
201.184.239.75,5678
184.95.235.194,1080
117.198.221.34,4153
200.108.50.254,4145
45.160.86.22,4153
212.126.5.246,42344
103.156.75.42,8181
213.19.205.18,54321
76.26.114.253,39593
202.51.124.166,1080
203.174.15.83,8080
183.88.240.139,4153
45.234.77.86,4153
45.116.114.37,5678
84.2.239.42,4153
103.229.83.106,6789
177.136.124.47,3629
41.70.106.1,5678
103.137.218.166,83
177.131.29.210,4153
177.39.211.113,1080
109.166.207.162,3629
203.150.128.60,8080
103.121.214.50,4145
202.123.183.66,5678
45.188.167.25,999
194.190.169.197,3701
128.90.145.79,8118
217.145.199.47,56746
145.239.95.118,10084
103.148.39.50,83
91.204.190.140,1080
104.129.194.43,10336
88.156.206.14,8118
101.96.117.169,1080
103.154.113.242,4153
178.115.255.177,5678
36.66.170.25,4153
103.48.68.28,83
202.166.219.80,4153
37.52.13.164,5678
196.29.231.1,4145
181.143.59.140,4153
103.166.32.130,11080
190.7.138.78,80
205.177.85.130,39593
202.144.134.150,5678
79.106.170.126,4145
83.220.46.106,4145
31.13.239.4,5678
103.167.68.84,8080
190.57.131.158,1080
103.158.252.66,80
119.82.242.200,8080
103.102.142.98,4145
190.2.104.201,4153
186.97.200.210,999
36.89.212.252,8080
47.56.181.224,3128
103.224.48.41,31433
103.157.224.1,5678
103.123.64.234,3128
103.97.94.22,4153
187.63.9.62,63253
200.122.92.211,5678
103.147.247.171,8080
187.102.236.161,999
202.84.76.190,5678
115.85.74.114,5678
103.154.230.78,5678
185.215.53.129,3629
103.118.127.222,4153
190.120.248.33,4145
45.238.57.1,3629
50.238.47.86,32100
102.164.252.150,8080
8.213.128.6,8080
186.251.253.53,31337
183.80.130.10,4145
8.219.97.248,80
103.19.130.50,8080
190.104.8.142,14888
168.232.213.9,4153
31.211.142.115,8192
110.93.206.62,5678
181.143.37.11,6575
201.54.176.64,8080
203.142.71.54,8080
186.248.87.172,5678
